region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,2008-09-01,8,3.2980740740740737,98.94222222222221
dalarna,2008-10-01,10,3.3490412186379928,103.82027777777778
dalarna,2008-11-01,5,2.0004814814814815,60.01444444444444
dalarna,2008-12-01,0,1.5335663082437276,47.54055555555556
dalarna,2009-01-01,0,1.5796236559139785,48.968333333333334
dalarna,2009-02-01,5,2.392996031746032,67.0038888888889
dalarna,2009-03-01,7,2.7518727598566306,85.30805555555555
dalarna,2009-04-01,21,8.472944444444444,254.18833333333333
dalarna,2009-05-01,24,9.119014336917564,282.68944444444446
dalarna,2009-06-01,17,8.035777777777778,241.07333333333332
dalarna,2009-07-01,14,5.514462365591397,170.94833333333332
dalarna,2009-08-01,19,6.950725806451612,215.4725
dalarna,2009-09-01,15,6.3170370370370375,189.51111111111112
dalarna,2009-10-01,11,4.074659498207885,126.31444444444445
dalarna,2009-11-01,0,0.41414814814814815,12.424444444444445
dalarna,2009-12-01,0,0.6558960573476703,20.33277777777778
dalarna,2010-01-01,0,1.7439605734767027,54.06277777777778
dalarna,2010-02-01,7,2.425297619047619,67.90833333333333
dalarna,2010-03-01,14,4.840385304659498,150.05194444444444
dalarna,2010-04-01,17,6.874944444444444,206.24833333333333
dalarna,2010-05-01,19,7.24339605734767,224.54527777777778
dalarna,2010-06-01,23,9.75399074074074,292.6197222222222
dalarna,2010-07-01,21,8.524139784946236,264.24833333333333
dalarna,2010-08-01,8,4.113700716845878,127.52472222222222
dalarna,2010-09-01,10,4.328388888888889,129.85166666666666
dalarna,2010-10-01,11,3.9771505376344085,123.29166666666666
dalarna,2010-11-01,6,2.2122685185185187,66.36805555555556
dalarna,2010-12-01,0,1.4989247311827958,46.46666666666667
dalarna,2011-01-01,2,2.123449820788531,65.82694444444445
dalarna,2011-02-01,10,3.408412698412698,95.43555555555555
dalarna,2011-03-01,19,7.113387096774194,220.51500000000001
dalarna,2011-04-01,19,7.848120370370371,235.44361111111112
dalarna,2011-05-01,16,7.4407168458781365,230.66222222222223
dalarna,2011-06-01,20,8.163712962962963,244.9113888888889
dalarna,2011-07-01,19,6.94146953405018,215.18555555555557
dalarna,2011-08-01,16,6.6053494623655915,204.76583333333335
dalarna,2011-09-01,11,5.0630648148148145,151.89194444444445
dalarna,2011-10-01,15,4.316397849462366,133.80833333333334
dalarna,2011-11-01,4,2.037888888888889,61.13666666666667
dalarna,2011-12-01,0,1.7124372759856632,53.08555555555556
dalarna,2012-01-01,0,1.51,46.81
dalarna,2012-02-01,10,3.446254789272031,99.9413888888889
dalarna,2012-03-01,19,6.130439068100359,190.04361111111112
dalarna,2012-04-01,9,4.87312962962963,146.1938888888889
dalarna,2012-05-01,19,8.24605734767025,255.62777777777777
dalarna,2012-06-01,14,6.451824074074073,193.5547222222222
dalarna,2012-07-01,13,5.773387096774194,178.975
dalarna,2012-08-01,12,4.900125448028674,151.9038888888889
dalarna,2012-09-01,14,5.354444444444444,160.63333333333333
dalarna,2012-10-01,6,2.841621863799283,88.09027777777777
dalarna,2012-11-01,2,1.3472962962962962,40.41888888888889
dalarna,2012-12-01,0,0.8696774193548388,26.96
dalarna,2013-01-01,4,2.0076433691756272,62.23694444444445
dalarna,2013-02-01,6,1.943720238095238,54.424166666666665
dalarna,2013-03-01,23,8.626272401433692,267.4144444444444
dalarna,2013-04-01,19,7.376777777777778,221.30333333333334
