Period;Grupp;Serie;Medel;Min;Max
2022 september;Valutor mot svenska kronor;1 NOK;1,06155;1,04303;1,08144
2022 oktober;Valutor mot svenska kronor;1 NOK;1,05223;1,02287;1,06577
2022 november;Valutor mot svenska kronor;1 NOK;1,05236;1,04309;1,06588
2022 december;Valutor mot svenska kronor;1 NOK;1,05053;1,03275;1,06597
2023 januari;Valutor mot svenska kronor;1 NOK;1,04616;1,03333;1,06276
2023 februari;Valutor mot svenska kronor;1 NOK;1,02145;1,00317;1,04804
2023 mars;Valutor mot svenska kronor;1 NOK;0,99524;0,975;1,00841
2023 april;Valutor mot svenska kronor;1 NOK;0,98475;0,96462;1,00858
2023 maj;Valutor mot svenska kronor;1 NOK;0,96797;0,95419;0,97841
2023 juni;Valutor mot svenska kronor;1 NOK;0,99754;0,97618;1,01094
2023 juli;Valutor mot svenska kronor;1 NOK;1,02463;1,00724;1,03574
2023 augusti;Valutor mot svenska kronor;1 NOK;1,03509;1,02534;1,04658
2023 september;Valutor mot svenska kronor;1 NOK;1,03331;1,01894;1,04128
2023 oktober;Valutor mot svenska kronor;1 NOK;1,00214;0,99061;1,02283
2023 november;Valutor mot svenska kronor;1 NOK;0,97912;0,96987;1,00026
2023 december;Valutor mot svenska kronor;1 NOK;0,97157;0,95366;0,98714
2024 januari;Valutor mot svenska kronor;1 NOK;0,99412;0,98658;1,00453
2024 februari;Valutor mot svenska kronor;1 NOK;0,98822;0,9759;0,99781
2024 mars;Valutor mot svenska kronor;1 NOK;0,98124;0,97434;0,98725
2024 april;Valutor mot svenska kronor;1 NOK;0,99214;0,98715;0,99857
2024 maj;Valutor mot svenska kronor;1 NOK;1,00185;0,98641;1,01095
2024 juni;Valutor mot svenska kronor;1 NOK;0,98824;0,97874;1,00132
2024 juli;Valutor mot svenska kronor;1 NOK;0,98443;0,97447;0,99456
2024 augusti;Valutor mot svenska kronor;1 NOK;0,97172;0,95237;0,98089
