Period;Grupp;Serie;Medel;Min;Max
2015 september;Valutor mot svenska kronor;1 USD;8,36725;8,181;8,4607
2015 oktober;Valutor mot svenska kronor;1 USD;8,32214;8,1152;8,5365
2015 november;Valutor mot svenska kronor;1 USD;8,67578;8,5162;8,7395
2015 december;Valutor mot svenska kronor;1 USD;8,5082;8,3459;8,7025
2016 januari;Valutor mot svenska kronor;1 USD;8,53685;8,4089;8,6021
2016 februari;Valutor mot svenska kronor;1 USD;8,47192;8,3948;8,5651
2016 mars;Valutor mot svenska kronor;1 USD;8,36898;8,1472;8,612
2016 april;Valutor mot svenska kronor;1 USD;8,12042;8,0393;8,1796
2016 maj;Valutor mot svenska kronor;1 USD;8,21916;7,9202;8,3581
2016 juni;Valutor mot svenska kronor;1 USD;8,29894;8,1123;8,5096
2016 juli;Valutor mot svenska kronor;1 USD;8,56058;8,4209;8,6656
2016 augusti;Valutor mot svenska kronor;1 USD;8,47139;8,3492;8,5851
2016 september;Valutor mot svenska kronor;1 USD;8,53338;8,4258;8,6187
2016 oktober;Valutor mot svenska kronor;1 USD;8,79762;8,5679;9,037
2016 november;Valutor mot svenska kronor;1 USD;9,11263;8,902;9,2775
2016 december;Valutor mot svenska kronor;1 USD;9,2123;9,0655;9,3856
2017 januari;Valutor mot svenska kronor;1 USD;8,95154;8,8149;9,151
2017 februari;Valutor mot svenska kronor;1 USD;8,89864;8,7192;9,0402
2017 mars;Valutor mot svenska kronor;1 USD;8,91777;8,7637;9,0757
2017 april;Valutor mot svenska kronor;1 USD;8,94395;8,7602;9,0907
2017 maj;Valutor mot svenska kronor;1 USD;8,7851;8,677;8,8933
2017 juni;Valutor mot svenska kronor;1 USD;8,68578;8,469;8,7769
2017 juli;Valutor mot svenska kronor;1 USD;8,33249;8,1331;8,5093
2017 augusti;Valutor mot svenska kronor;1 USD;8,08381;7,9383;8,1789
2017 september;Valutor mot svenska kronor;1 USD;7,99993;7,9236;8,1535
2017 oktober;Valutor mot svenska kronor;1 USD;8,17247;8,0587;8,3555
2017 november;Valutor mot svenska kronor;1 USD;8,38662;8,2859;8,5222
2017 december;Valutor mot svenska kronor;1 USD;8,39863;8,2322;8,501
2018 januari;Valutor mot svenska kronor;1 USD;8,05381;7,8434;8,2178
2018 februari;Valutor mot svenska kronor;1 USD;8,032;7,855;8,256
2018 mars;Valutor mot svenska kronor;1 USD;8,23341;8,1697;8,3596
2018 april;Valutor mot svenska kronor;1 USD;8,4459;8,2988;8,6911
2018 maj;Valutor mot svenska kronor;1 USD;8,75994;8,5815;8,9143
2018 juni;Valutor mot svenska kronor;1 USD;8,79822;8,5932;8,9932
2018 juli;Valutor mot svenska kronor;1 USD;8,82253;8,7038;8,99
2018 augusti;Valutor mot svenska kronor;1 USD;9,06228;8,7984;9,186
2018 september;Valutor mot svenska kronor;1 USD;8,95718;8,7683;9,1363
2018 oktober;Valutor mot svenska kronor;1 USD;9,03491;8,9106;9,1648
2018 november;Valutor mot svenska kronor;1 USD;9,0556;8,9782;9,1405
2018 december;Valutor mot svenska kronor;1 USD;9,03282;8,9587;9,1104
2019 januari;Valutor mot svenska kronor;1 USD;8,9863;8,8685;9,0873
2019 februari;Valutor mot svenska kronor;1 USD;9,24949;9,0472;9,3402
2019 mars;Valutor mot svenska kronor;1 USD;9,28867;9,1499;9,4777
2019 april;Valutor mot svenska kronor;1 USD;9,3231;9,2251;9,5166
2019 maj;Valutor mot svenska kronor;1 USD;9,6041;9,5418;9,6844
2019 juni;Valutor mot svenska kronor;1 USD;9,4093;9,2675;9,553
2019 juli;Valutor mot svenska kronor;1 USD;9,40947;9,3066;9,5637
2019 augusti;Valutor mot svenska kronor;1 USD;9,64401;9,5442;9,7905
2019 september;Valutor mot svenska kronor;1 USD;9,7164;9,6066;9,88
2019 oktober;Valutor mot svenska kronor;1 USD;9,77626;9,5753;9,9336
2019 november;Valutor mot svenska kronor;1 USD;9,63736;9,5506;9,739
2019 december;Valutor mot svenska kronor;1 USD;9,44239;9,3171;9,5702
2020 januari;Valutor mot svenska kronor;1 USD;9,50984;9,3341;9,6605
