﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Malmö-Sturup Flygplats;53300;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-01-01 00:00:00;1997-10-31 23:59:59;72.0;55.5390;13.3665
1997-11-01 00:00:00;2026-05-01 14:20:59;72.0;55.5231;13.3787

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1992-07-01 00:00:01;1992-08-01 00:00:00;1992-07;17.7;Y
1992-08-01 00:00:01;1992-09-01 00:00:00;1992-08;16.4;Y
1992-09-01 00:00:01;1992-10-01 00:00:00;1992-09;12.4;Y
1992-10-01 00:00:01;1992-11-01 00:00:00;1992-10;5.6;Y
1992-11-01 00:00:01;1992-12-01 00:00:00;1992-11;4.3;Y
1992-12-01 00:00:01;1993-01-01 00:00:00;1992-12;2.1;Y
1993-01-01 00:00:01;1993-02-01 00:00:00;1993-01;1.3;Y
1993-02-01 00:00:01;1993-03-01 00:00:00;1993-02;0.1;Y
1993-03-01 00:00:01;1993-04-01 00:00:00;1993-03;1.9;Y
1993-04-01 00:00:01;1993-05-01 00:00:00;1993-04;6.8;Y
1993-05-01 00:00:01;1993-06-01 00:00:00;1993-05;13.1;Y
1993-06-01 00:00:01;1993-07-01 00:00:00;1993-06;13.7;Y
1993-07-01 00:00:01;1993-08-01 00:00:00;1993-07;14.3;Y
1993-08-01 00:00:01;1993-09-01 00:00:00;1993-08;13.6;Y
1993-09-01 00:00:01;1993-10-01 00:00:00;1993-09;9.9;Y
1993-10-01 00:00:01;1993-11-01 00:00:00;1993-10;6.4;Y
1993-11-01 00:00:01;1993-12-01 00:00:00;1993-11;1.8;Y
1993-12-01 00:00:01;1994-01-01 00:00:00;1993-12;1.8;Y
1994-01-01 00:00:01;1994-02-01 00:00:00;1994-01;1.9;Y
1994-02-01 00:00:01;1994-03-01 00:00:00;1994-02;-1.9;Y
1994-03-01 00:00:01;1994-04-01 00:00:00;1994-03;2.7;Y
1994-04-01 00:00:01;1994-05-01 00:00:00;1994-04;7.3;Y
1994-05-01 00:00:01;1994-06-01 00:00:00;1994-05;9.8;Y
1994-06-01 00:00:01;1994-07-01 00:00:00;1994-06;13.1;Y
1994-07-01 00:00:01;1994-08-01 00:00:00;1994-07;19.4;Y
1994-08-01 00:00:01;1994-09-01 00:00:00;1994-08;16.7;Y
1994-09-01 00:00:01;1994-10-01 00:00:00;1994-09;12.6;Y
1994-10-01 00:00:01;1994-11-01 00:00:00;1994-10;7.3;Y
1994-11-01 00:00:01;1994-12-01 00:00:00;1994-11;5.6;Y
1994-12-01 00:00:01;1995-01-01 00:00:00;1994-12;3.5;Y
1995-01-01 00:00:01;1995-02-01 00:00:00;1995-01;-0.6;Y
1995-02-01 00:00:01;1995-03-01 00:00:00;1995-02;3.0;Y
1995-03-01 00:00:01;1995-04-01 00:00:00;1995-03;2.5;Y
1995-04-01 00:00:01;1995-05-01 00:00:00;1995-04;5.8;Y
1995-05-01 00:00:01;1995-06-01 00:00:00;1995-05;9.6;Y
1995-06-01 00:00:01;1995-07-01 00:00:00;1995-06;14.1;Y
1995-07-01 00:00:01;1995-08-01 00:00:00;1995-07;17.6;Y
1995-08-01 00:00:01;1995-09-01 00:00:00;1995-08;17.8;Y
1995-09-01 00:00:01;1995-10-01 00:00:00;1995-09;12.7;Y
