﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2026-05-01 14:20:59;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2017-08-01 00:00:01;2017-09-01 00:00:00;2017-08;17.0;Y
2017-09-01 00:00:01;2017-10-01 00:00:00;2017-09;13.1;Y
2017-10-01 00:00:01;2017-11-01 00:00:00;2017-10;8.0;Y
2017-11-01 00:00:01;2017-12-01 00:00:00;2017-11;3.8;Y
2017-12-01 00:00:01;2018-01-01 00:00:00;2017-12;1.5;Y
2018-01-01 00:00:01;2018-02-01 00:00:00;2018-01;0.2;Y
2018-02-01 00:00:01;2018-03-01 00:00:00;2018-02;-3.2;Y
2018-03-01 00:00:01;2018-04-01 00:00:00;2018-03;-1.6;Y
2018-04-01 00:00:01;2018-05-01 00:00:00;2018-04;7.1;Y
2018-05-01 00:00:01;2018-06-01 00:00:00;2018-05;16.1;Y
2018-06-01 00:00:01;2018-07-01 00:00:00;2018-06;17.3;Y
2018-07-01 00:00:01;2018-08-01 00:00:00;2018-07;22.5;Y
2018-08-01 00:00:01;2018-09-01 00:00:00;2018-08;19.3;Y
2018-09-01 00:00:01;2018-10-01 00:00:00;2018-09;14.3;Y
2018-10-01 00:00:01;2018-11-01 00:00:00;2018-10;8.7;Y
2018-11-01 00:00:01;2018-12-01 00:00:00;2018-11;4.5;Y
2018-12-01 00:00:01;2019-01-01 00:00:00;2018-12;0.8;Y
2019-01-01 00:00:01;2019-02-01 00:00:00;2019-01;-1.7;Y
2019-02-01 00:00:01;2019-03-01 00:00:00;2019-02;1.9;Y
2019-03-01 00:00:01;2019-04-01 00:00:00;2019-03;2.7;Y
2019-04-01 00:00:01;2019-05-01 00:00:00;2019-04;7.4;Y
2019-05-01 00:00:01;2019-06-01 00:00:00;2019-05;10.9;Y
2019-06-01 00:00:01;2019-07-01 00:00:00;2019-06;18.4;Y
2019-07-01 00:00:01;2019-08-01 00:00:00;2019-07;17.7;Y
2019-08-01 00:00:01;2019-09-01 00:00:00;2019-08;18.0;Y
